"gender","age","education","income","fin_status","region","settlement_type","pol_interest","voted_binary","evote_awareness","evote_knowledge","evote_definition_correct","digital_skills_index","digital_trust_index","deliberation_index","civic_duty_index","electoral_responsibility_index","perc_accessibility","perc_security","perc_transparency","perc_anonymity","institutional_trust_index","electoral_integrity_index","evote_willingness","disinfo_personal_impact"
"Чоловіча","25-34 роки","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,3.6,5,5,5,3.66666666666667,2.5,4.5,2,2.8,4.75,"Так",NA
"Чоловіча","18-24 роки","Бакалавр","Менше ніж 100 тис. гривень","Можемо купувати дорогі речі","Зараз проживаю за межами України","Місто (до 100 тис. мешканців)","Дуже цікавлюся",NA,"Так, чув/чула, але маю загальне уявлення",2,1,5,4,NA,NA,NA,3.66666666666667,2.75,3.5,3,1.8,5,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 401 до 600 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.5,3,3,2.8,2.9,4,2.5,4,1,1.4,1,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.75,4.6,4.5,5,4.75,4,2.75,4.5,5,4.2,4.5,"Так",NA
"Жіноча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",0,"Так, чув/чула, але маю загальне уявлення",2,0,4.25,4,NA,NA,NA,5,2.5,2,4,2.2,3.5,"Так",NA
"Чоловіча","35-44 роки","Бакалавр","Понад 1 мільйон гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.8,3.8,4.3,5,3.5,5,3,3,4.25,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (до 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,2.75,4.2,3.9,4.8,4.35,4.33333333333333,3.25,5,3,2.6,3.75,"Так",NA
"Жіноча","35-44 роки","Бакалавр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.9,4.8,4.85,4.33333333333333,4.25,4.5,4,4,3.75,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.25,5,4,4,4,4.33333333333333,3.5,4.5,3,3,3,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.1,4.4,4.25,5,4.75,3.5,5,3,3,"Так",NA
